"filename", "language", "Swift", "JSON", "C++", "XML", "YAML", "Dart", "HTML", "Properties", "Markdown", "Groovy", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\dheen\Desktop\UFin\ufin\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 5, 13, 74
"c:\Users\dheen\Desktop\UFin\ufin\android\app\google-services.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\dheen\Desktop\UFin\ufin\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\dheen\Desktop\UFin\ufin\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"c:\Users\dheen\Desktop\UFin\ufin\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\dheen\Desktop\UFin\ufin\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\dheen\Desktop\UFin\ufin\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\dheen\Desktop\UFin\ufin\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\dheen\Desktop\UFin\ufin\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\dheen\Desktop\UFin\ufin\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\dheen\Desktop\UFin\ufin\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\dheen\Desktop\UFin\ufin\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\dheen\Desktop\UFin\ufin\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\dheen\Desktop\UFin\ufin\ios\RunnerTests\RunnerTests.swift", "Swift", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\dheen\Desktop\UFin\ufin\ios\Runner\AppDelegate.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\dheen\Desktop\UFin\ufin\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\dheen\Desktop\UFin\ufin\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\dheen\Desktop\UFin\ufin\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\dheen\Desktop\UFin\ufin\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\dheen\Desktop\UFin\ufin\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\dheen\Desktop\UFin\ufin\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dheen\Desktop\UFin\ufin\ios\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\dheen\Desktop\UFin\ufin\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 12, 6, 83
"c:\Users\dheen\Desktop\UFin\ufin\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 6, 37
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\budget_model.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 5, 50
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\commitmet_model.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 2, 20
